# ATCA calibrator list retrieved on 2011-10-10
0823+033, radec atca_cal, 08:25:50.338355, 03:09:24.520140
0823-223, radec atca_cal, 08:26:01.572909, -22:30:27.202110
0825-202, radec atca_cal, 08:27:17.2081, -20:26:21.716
0826-373, radec atca_cal, 08:28:4.78020406, -37:31:6.2811139
0829+046, radec atca_cal, 08:31:48.876955, 04:29:39.085340
j0832-4846, radec atca_cal, 08:32:13.00468, -48:46:54.7551
0830+040, radec atca_cal, 08:33:18.9134, 03:50:32.356
j0833-7305, radec atca_cal, 08:33:43.14144, -73:05:26.2044
0833-450, radec atca_cal, 08:35:20.655175, -45:10:35.153252
j0835-5953, radec atca_cal, 08:35:29.02204, -59:53:10.9198
0834-201, radec atca_cal, 08:36:39.215215, -20:16:59.503500
